iter	Passed	Remaining
411	3825	5460
412	3835	5452
413	3845	5443
414	3854	5433
415	3863	5423
416	3872	5413
417	3881	5403
418	3889	5393
419	3898	5384
420	3907	5374
421	3916	5363
422	3924	5353
423	3933	5344
424	3942	5334
425	3952	5326
426	3962	5317
427	3971	5307
428	3979	5297
429	3988	5287
430	3997	5277
431	4007	5268
432	4016	5259
433	4025	5249
434	4034	5239
435	4043	5230
436	4052	5221
437	4062	5212
438	4071	5202
439	4080	5193
440	4089	5183
441	4098	5174
442	4108	5165
443	4117	5155
444	4126	5146
445	4135	5136
446	4144	5127
447	4154	5118
448	4164	5110
449	4173	5100
450	4182	5090
451	4190	5080
452	4199	5070
453	4208	5060
454	4218	5052
455	4227	5043
456	4238	5035
457	4248	5027
458	4258	5019
459	4268	5010
460	4277	5001
461	4287	4992
462	4296	4983
463	4305	4974
464	4315	4965
465	4324	4955
466	4334	4946
467	4344	4938
468	4354	4929
469	4364	4921
470	4374	4913
471	4384	4904
472	4393	4895
473	4403	4886
474	4413	4878
475	4424	4870
476	4434	4861
477	4443	4853
478	4454	4845
479	4464	4836
480	4474	4827
481	4484	4819
482	4494	4810
483	4505	4803
484	4519	4798
485	4530	4791
486	4540	4783
487	4550	4774
488	4561	4767
489	4571	4757
490	4582	4750
491	4592	4741
492	4602	4732
493	4612	4724
494	4622	4716
495	4634	4708
496	4645	4701
497	4655	4693
498	4665	4683
499	4675	4675
500	4684	4666
501	4694	4657
502	4703	4647
503	4713	4638
504	4724	4630
505	4733	4621
506	4742	4611
507	4752	4602
508	4761	4593
509	4772	4585
510	4781	4575
511	4790	4566
512	4801	4557
513	4810	4548
514	4820	4539
515	4829	4530
516	4839	4521
517	4848	4511
518	4858	4502
519	4867	4493
520	4876	4483
521	4887	4475
522	4896	4465
523	4905	4456
524	4914	4446
525	4923	4437
526	4933	4427
527	4943	4418
528	4952	4409
529	4962	4400
530	4972	4391
531	4981	4382
532	4991	4373
533	5003	4366
534	5013	4357
535	5024	4349
536	5035	4341
537	5044	4332
538	5054	4322
539	5063	4313
540	5073	4304
541	5083	4295
542	5093	4287
543	5104	4278
544	5115	4270
545	5125	4261
546	5135	4253
547	5145	4244
548	5156	4235
549	5167	4227
550	5178	4220
551	5187	4210
552	5198	4201
553	5208	4192
554	5217	4183
555	5227	4174
556	5236	4165
557	5247	4156
558	5257	4147
559	5268	4139
560	5279	4131
561	5288	4121
562	5299	4113
563	5309	4104
564	5320	4095
565	5330	4087
566	5339	4077
567	5350	4069
568	5360	4060
569	5370	4051
570	5381	4042
571	5391	4033
572	5401	4025
573	5411	4016
574	5421	4007
575	5430	3997
576	5442	3989
577	5452	3980
578	5463	3972
579	5474	3964
580	5484	3954
581	5495	3946
582	5506	3938
583	5516	3929
584	5526	3920
585	5535	3910
586	5546	3902
587	5557	3894
588	5568	3885
589	5578	3876
590	5589	3868
591	5598	3858
592	5608	3849
593	5617	3839
594	5627	3830
595	5637	3821
596	5647	3812
597	5659	3804
598	5669	3795
599	5679	3786
600	5690	3778
601	5701	3769
602	5711	3760
603	5721	3751
604	5731	3742
605	5742	3733
606	5752	3724
607	5761	3714
608	5772	3706
609	5782	3696
610	5792	3688
611	5804	3679
612	5815	3671
613	5825	3662
614	5836	3653
615	5846	3644
616	5857	3635
617	5867	3627
618	5877	3617
619	5888	3608
620	5898	3600
621	5908	3590
622	5918	3581
623	5927	3571
624	5938	3563
625	5949	3554
626	5958	3544
627	5968	3535
628	5978	3526
629	5988	3516
630	5998	3507
631	6008	3498
632	6018	3489
633	6028	3480
634	6039	3471
635	6049	3462
636	6059	3452
637	6069	3443
638	6079	3434
639	6091	3426
640	6102	3418
641	6114	3409
642	6123	3399
643	6133	3390
644	6143	3381
645	6153	3372
646	6164	3363
647	6175	3354
648	6185	3345
649	6195	3335
650	6205	3326
651	6214	3317
652	6224	3307
653	6235	3298
654	6246	3290
655	6255	3280
656	6266	3271
657	6277	3262
658	6287	3253
659	6297	3244
660	6307	3234
661	6317	3225
662	6327	3216
663	6336	3206
664	6345	3196
665	6354	3186
666	6363	3177
667	6372	3167
668	6381	3157
669	6390	3147
670	6399	3137
671	6408	3127
672	6417	3118
673	6426	3108
674	6435	3098
675	6444	3088
676	6453	3079
677	6463	3069
678	6474	3060
679	6483	3051
680	6493	3041
681	6502	3032
682	6512	3022
683	6522	3013
684	6531	3003
685	6543	2995
686	6552	2985
687	6562	2976
688	6572	2966
689	6583	2957
690	6593	2948
691	6604	2939
692	6613	2929
693	6625	2921
694	6634	2911
695	6644	2902
696	6654	2893
697	6664	2883
698	6675	2874
699	6684	2864
700	6694	2855
701	6703	2845
702	6712	2835
703	6722	2826
704	6730	2816
705	6740	2806
706	6749	2797
707	6757	2787
708	6766	2777
709	6775	2767
710	6785	2758
711	6795	2748
712	6805	2739
713	6817	2730
714	6827	2721
715	6838	2712
716	6848	2702
717	6857	2693
718	6866	2683
719	6876	2674
720	6887	2665
721	6896	2655
722	6907	2646
723	6917	2637
724	6929	2628
725	6939	2618
726	6948	2609
727	6958	2600
728	6967	2590
729	6976	2580
730	6985	2570
731	6994	2560
732	7002	2550
733	7011	2540
734	7020	2531
735	7028	2521
736	7037	2511
737	7046	2501
738	7055	2491
739	7064	2482
740	7074	2472
741	7084	2463
742	7094	2453
743	7104	2444
744	7114	2435
745	7125	2425
746	7135	2416
747	7146	2407
748	7155	2397
749	7166	2388
750	7176	2379
751	7186	2370
752	7195	2360
753	7206	2351
754	7215	2341
755	7224	2331
756	7233	2321
757	7242	2312
758	7253	2303
759	7264	2294
760	7274	2284
761	7286	2275
762	7296	2266
763	7306	2257
764	7316	2247
765	7326	2238
766	7336	2228
767	7345	2218
768	7354	2209
769	7363	2199
770	7373	2189
771	7382	2180
772	7390	2170
773	7399	2160
774	7408	2150
775	7417	2141
776	7427	2131
777	7436	2121
778	7445	2112
779	7454	2102
780	7464	2093
781	7473	2083
782	7482	2073
783	7491	2063
784	7500	2054
785	7509	2044
786	7518	2034
787	7527	2025
788	7536	2015
789	7545	2005
790	7555	1996
791	7565	1986
792	7574	1977
793	7583	1967
794	7592	1957
795	7601	1948
796	7610	1938
797	7619	1928
798	7628	1918
799	7637	1909
800	7648	1900
801	7656	1890
802	7665	1880
803	7674	1870
804	7685	1861
805	7695	1852
806	7703	1842
807	7712	1832
808	7722	1823
809	7733	1814
810	7743	1804
811	7751	1794
812	7761	1785
813	7770	1775
814	7780	1766
815	7789	1756
816	7798	1746
817	7807	1737
818	7816	1727
819	7825	1717
820	7834	1708
821	7842	1698
822	7851	1688
823	7860	1679
824	7869	1669
825	7879	1659
826	7887	1650
827	7897	1640
828	7906	1630
829	7915	1621
830	7924	1611
831	7933	1602
832	7943	1592
833	7953	1582
834	7963	1573
835	7973	1564
836	7983	1554
837	7994	1545
838	8004	1536
839	8013	1526
840	8023	1516
841	8034	1507
842	8043	1498
843	8053	1488
844	8062	1478
845	8071	1469
846	8081	1459
847	8090	1450
848	8100	1440
849	8111	1431
850	8122	1422
851	8132	1412
852	8142	1403
853	8154	1394
854	8165	1384
855	8176	1375
856	8188	1366
857	8199	1357
858	8210	1347
859	8220	1338
860	8230	1328
861	8241	1319
862	8252	1310
863	8262	1300
864	8271	1290
865	8282	1281
866	8292	1272
867	8301	1262
868	8311	1252
869	8321	1243
870	8331	1233
871	8341	1224
872	8351	1214
873	8362	1205
874	8372	1196
875	8383	1186
876	8393	1177
877	8404	1167
878	8414	1158
879	8424	1148
880	8435	1139
881	8445	1129
882	8456	1120
883	8467	1111
884	8476	1101
885	8487	1092
886	8497	1082
887	8507	1072
888	8517	1063
889	8527	1053
890	8538	1044
891	8548	1035
892	8558	1025
893	8568	1015
894	8578	1006
895	8588	996
896	8599	987
897	8609	977
898	8619	968
899	8628	958
900	8640	949
901	8650	939
902	8661	930
903	8671	920
904	8681	911
905	8690	901
906	8700	892
907	8710	882
908	8720	872
909	8731	863
910	8741	853
911	8751	844
912	8761	834
913	8771	825
914	8780	815
915	8790	806
916	8800	796
917	8809	786
918	8818	777
919	8827	767
920	8836	757
921	8845	748
922	8854	738
923	8863	729
924	8872	719
925	8882	709
926	8891	700
927	8901	690
928	8911	681
929	8920	671
930	8929	661
931	8939	652
932	8949	642
933	8958	633
934	8968	623
935	8977	613
936	8987	604
937	8996	594
938	9005	585
939	9014	575
940	9024	565
941	9034	556
942	9044	546
943	9054	537
944	9063	527
945	9072	517
946	9081	508
947	9091	498
948	9100	489
949	9109	479
950	9119	469
951	9130	460
952	9142	450
953	9153	441
954	9163	431
955	9176	422
956	9186	412
957	9198	403
958	9208	393
959	9219	384
960	9230	374
961	9241	365
962	9253	355
963	9265	345
964	9275	336
965	9287	326
966	9299	317
967	9310	307
968	9321	298
969	9334	288
970	9345	279
971	9356	269
972	9366	259
973	9376	250
974	9387	240
975	9397	231
976	9408	221
977	9418	211
978	9430	202
979	9440	192
980	9450	183
981	9459	173
982	9470	163
983	9479	154
984	9489	144
985	9498	134
986	9507	125
987	9517	115
988	9526	105
989	9535	96
990	9544	86
991	9554	77
992	9563	67
993	9572	57
994	9582	48
995	9592	38
996	9601	28
997	9610	19
998	9619	9
999	9629	0
